Привет,./first/file1.py:2:21
как,./first/file1.py:2:29
дела,./first/file1.py:2:33
слово,./first/file1.py:6:12
слово,./first/file1.py:6:18
слово,./first/file1.py:6:24
слово,./first/file1.py:6:30
набор,./first/file1.py:9:12
разных,./first/file1.py:9:18
русских,./first/file1.py:9:25
слов,./first/file1.py:9:33
в,./first/file1.py:12:12
Привет,./first/aaa/karamba.py:2:21
как,./first/aaa/karamba.py:2:29
дела,./first/aaa/karamba.py:2:33
слово,./first/aaa/karamba.py:6:12
слово,./first/aaa/karamba.py:6:18
слово,./first/aaa/karamba.py:6:24
слово,./first/aaa/karamba.py:6:30
набор,./first/aaa/karamba.py:9:12
разных,./first/aaa/karamba.py:9:18
русских,./first/aaa/karamba.py:9:25
слов,./first/aaa/karamba.py:9:33
в,./first/aaa/karamba.py:12:12
Отправить,./third/file6.py:1:17
Виста,./third/file6.py:2:16
Фамилия,./third/file6.py:3:17
врача,./third/file6.py:3:25
Привет,./third/file5.py:1:15
мир,./third/file5.py:1:23
Шарик,./second/file3.py:10:24
